protected_idx,original_idx,similarity,protected_id,original_id,confidence,ml_match_probability,ml_refined,distance_refined,refinement_skipped,refinement_distance,refinement_reason
1124,2026,0.9977487659265651,c169f828565fcedc9d1212845c8dfc56,2026,high,1.0,False,False,True,,High confidence
11377,4808,0.9977465024159521,661c97635855aa223dc28848ec61f237,4808,high,1.0,False,False,True,,High confidence
4965,5219,0.9977389773325251,b8448718e7a572f4876d6c1a794cb390,5219,high,1.0,False,False,True,,High confidence
1034,15409,0.9977389743615812,2f666e4a770880379a7a3cde552358a4,15409,high,1.0,False,False,True,,High confidence
9821,6217,0.9977388439578262,8da036bf14a88c8515c8b8b33cbfca1d,6217,high,1.0,False,False,True,,High confidence
18976,6645,0.9977386014770374,82fbbab81dc3f8936c82dc00f6bef217,6645,high,1.0,False,False,True,,High confidence
7143,1744,0.9977322265195422,8905d9a79b78fce91dd6d43065d64138,1744,high,1.0,False,False,True,,High confidence
9272,18951,0.9977312611529875,7b09276e151fb949baccc96215854cdb,18951,high,1.0,False,False,True,,High confidence
10444,18081,0.997730883295863,684100969d60144b64e97ee147f8a538,18081,high,1.0,False,False,True,,High confidence
9780,11354,0.997728624333489,8e80cb1a3180bb59686f247d6801fde0,11354,high,1.0,False,False,True,,High confidence
15978,10846,0.9977240896379894,48225a205893edf7ebebd8b836d28305,10846,high,1.0,False,False,True,,High confidence
19851,13545,0.9977239985429479,9421259276d8a34bf5309e940cdb0452,13545,high,1.0,False,False,True,,High confidence
12656,3483,0.9977238240553183,7efac87bbeaa0fcf3afb417d8714dcfd,3483,high,1.0,False,False,True,,High confidence
8695,9682,0.9977222047430054,bdd0734b6f94defb031be0578248ca50,9682,high,1.0,False,False,True,,High confidence
